Standard,Standard_Item_Report,Description,Reporting Category,Cluster,Unit,Term,Number of Class Sessions Including Review and Assessment,Instructional Days,102,Needed Calendar Days,122.4
6.EE.B.6,6.EE.B.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",Expressions and Equations,Reason about and solve one-variable equations and inequalities.,Topic 3: Numeric and Algebraic Expressions,Term 1,,,,,
6.EE.B.6,6.EE.B.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"Topic 7: Solve Area, Surface Area, and Volume Problems",Term 3,,,,,
6.EE.B.7,6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q, and x are all nonnegative rational numbers.",Expressions and Equations,Reason about and solve one-variable equations and inequalities.,Topic 4: Represent and Solve Equations and Inequalities,Term 2,,,,,
6.EE.B.8,6.EE.B.8,Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,Topic 4: Represent and Solve Equations and Inequalities,Term 2,,,,,
6.EE.C.9,6.EE.C.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation. For example, in a problem involving motion at constant speed, list and graph ordered pairs of distances and times, and write the equation d = 65t to represent the relationship between distance and time.",Expressions and Equations,Represent and analyze quantitative relationships between dependent and independent variables.,Topic 4: Represent and Solve Equations and Inequalities,Term 2,,,,,
6.G.A.1,6.G.A.1,"Find the area of right triangles, other triangles, special quadrilaterals, and polygons by composing into rectangles or decomposing into triangles and other shapes; apply these techniques in the context of solving real-world and mathematical problems.",Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume.","Topic 7: Solve Area, Surface Area, and Volume Problems",Term 3,,,,,
6.G.A.2,6.G.A.2," Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism. Apply the formulas V = lwh and V = Bh to find volumes of right rectangular prisms with fractional edge lengths in the context of solving real-world and mathematical problems.",Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume.","Topic 7: Solve Area, Surface Area, and Volume Problems",Term 4,,,,,
6.G.A.3,6.G.A.3,Draw polygons in the coordinate plane given coordinates for the vertices; use coordinates to find the length of a side joining points with the same first coordinate or the same second coordinate. Apply these techniques in the context of solving real-world and mathematical problems.,Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume.","Topic 7: Solve Area, Surface Area, and Volume Problems",Term 4,,,,,
6.G.A.4,6.G.A.4,"Represent three-dimensional figures using nets made up of rectangles and triangles, and use the nets to find the surface areas of these figures. Apply these techniques in the context of solving real-world and mathematical problems.",Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume.","Topic 7: Solve Area, Surface Area, and Volume Problems",Term 4,,,,,
6.NS.A.1,6.NS.A.1,"Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem. ",The Number System,Apply and extend previous understandings of multiplication and division to divide fractions by fractions.,Topic 1: Use Positive Rational Numbers,Term 1,14,,,,
6.NS.B.2,6.NS.B.2,Fluently divide multi-digit numbers using the standard algorithm.,The Number System,Compute fluently with multi-digit numbers and find common factors and multiples.,Topic 1: Use Positive Rational Numbers,Term 1,,,,,
6.NS.B.3,6.NS.B.3,"Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation.",The Number System,Compute fluently with multi-digit numbers and find common factors and multiples.,Topic 1: Use Positive Rational Numbers,Term 1,,,,,
6.NS.B.4,6.NS.B.4,"Use prime factorization to find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1–100 with a common factor as a multiple of a sum of two relatively prime numbers. For example, express 36 + 8 as 4(9 + 2).",The Number System,Compute fluently with multi-digit numbers and find common factors and multiples.,Topic 3: Numeric and Algebraic Expressions,Term 1,,,,,
6.NS.C.5,6.NS.C.5,"Understand that positive and negative numbers are used together to describe quantities having opposite directions or values (e.g., temperature above/below zero, elevation above/below sea level, credits/debits, and positive/negative electric charge). Use positive and negative numbers (whole numbers, fractions, and decimals) to represent quantities in real-world contexts, explaining the meaning of zero in each situation.",The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Topic 2: Integers and Rational Numbers,Term 1,11,,,,
6.NS.C.6,6.NS.C.6,"Understand a rational number as a point on the number line. Extend number line diagrams and
coordinate axes familiar from previous grades to represent points on the line and in the plane with
negative number coordinates. ",The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Topic 2: Integers and Rational Numbers,Term 1,,,,,
6.NS.C.6.a,6.NS.C.6,". Recognize opposite signs of numbers as indicating locations on opposite sides of 0 on the number line; recognize that the opposite of the opposite of a number is the number itself, e.g., –(–3) = 3, and that zero is its own opposite.",The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Topic 2: Integers and Rational Numbers,Term 1,,,,,
6.NS.C.6.b,6.NS.C.6,"Understand signs of numbers in ordered pairs as indicating locations in quadrants of the coordinate plane; recognize that when two ordered pairs differ only by signs, the locations of the points are related by reflections across one or both axes.",The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Topic 2: Integers and Rational Numbers,Term 1,,,,,
6.NS.C.6.c,6.NS.C.6,Find and position integers and other rational numbers on a horizontal or vertical number line diagram; find and position pairs of integers and other rational numbers on a coordinate plane.,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Topic 2: Integers and Rational Numbers,Term 1,,,,,
6.NS.C.6.c,6.NS.C.6,Find and position integers and other rational numbers on a horizontal or vertical number line diagram; find and position pairs of integers and other rational numbers on a coordinate plane.,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,"Topic 7: Solve Area, Surface Area, and Volume Problems",Term 3,,,,,
6.NS.C.7,6.NS.C.7,Understand ordering and absolute value of rational numbers.,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Topic 2: Integers and Rational Numbers,Term 1,,,,,
6.NS.C.7.a,6.NS.C.7,"Interpret statements of inequality as statements about the relative positions of two numbers on
a number line diagram. ",The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Topic 2: Integers and Rational Numbers,Term 1,,,,,
6.NS.C.7.b,6.NS.C.7,"Write, interpret, and explain statements of order for rational numbers in real-world contexts.",The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Topic 2: Integers and Rational Numbers,Term 1,,,,,
6.NS.C.7.c,6.NS.C.7,"Understand the absolute value of a rational number as its distance from 0 on the number line; interpret absolute value as magnitude for a positive or negative quantity in a real-world situation. For example, for an account balance of –30 dollars, write |–30| = 30 to describe the size of the debt in dollars.",The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Topic 2: Integers and Rational Numbers,Term 1,,,,,
6.NS.C.7.d,6.NS.C.7,"Distinguish comparisons of absolute value from statements about order.
For example, recognize that an account balance less than –30 dollars represents a debt greater than 30 dollars.",The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Topic 2: Integers and Rational Numbers,Term 1,,,,,
6.NS.C.8,6.NS.C.8,Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Topic 2: Integers and Rational Numbers,Term 1,,,,,
6.NS.C.8,6.NS.C.8,Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,"Topic 7: Solve Area, Surface Area, and Volume Problems",Term 3,,,,,
6.RP.A.1,6.RP.A.1,Understand the concept of a ratio including the distinctions between part:part and part:whole and the value of a ratio; part/part and part/whole. Use ratio language to describe a ratio relationship between two quantities.,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,Topic 5: Understand and Use Ratio and Rate,Term 2,15,,,,
6.RP.A.2,6.RP.A.2,"Understand the concept of a unit rate a/b associated with a ratio a:b with b not 0, and use rate language in the context of a ratio relationship, including the use of units.",Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,Topic 5: Understand and Use Ratio and Rate,Term 2,,,,,
6.RP.A.3,6.RP.A.3,"Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations.",Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,Topic 5: Understand and Use Ratio and Rate,Term 2,,,,,
6.RP.A.3a,6.RP.A.3,"Make tables of equivalent ratios relating quantities with whole-number measurements. Find missing values in the tables, and plot the pairs of values on the coordinate plane. Use tables to compare ratios.",Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,Topic 5: Understand and Use Ratio and Rate,Term 2,,,,,
6.RP.A.3b,6.RP.A.3,"Solve unit rate problems, including those involving unit pricing, and constant speed. For example, if it took seven hours to mow four lawns, then, at that rate, how many lawns could be mowed in 35 hours? At what rate were lawns being mowed?",Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,Topic 5: Understand and Use Ratio and Rate,Term 2,,,,,
6.RP.A.3c,6.RP.A.3,"Find a percent of a quantity as a rate per 100 (e.g., 30% of a quantity means 30∕100 times the quantity); solve problems involving finding the whole, given a part and the percent.",Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,Topic 6: Understand and Use Percent,Term 3,11,,,,
6.RP.A.3d,6.RP.A.3,"Use ratio reasoning to convert measurement units within and between measurement systems; manipulate and transform units appropriately when multiplying or dividing quantities. For example, Malik is making a recipe, but he cannot find his measuring cups! He has, however, found a tablespoon. His cookbook says that 1 cup = 16 tablespoons. Explain how he could use the tablespoon to measure out the following ingredients: two cups of flour, ½ cup sunflower seed, and 1¼ cup of oatmeal.",Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,Topic 5: Understand and Use Ratio and Rate,Term 2,,,,,
6.RP.A.3e,6.RP.A.3,Solve problems that relate the mass of an object to its volume.,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,Topic 6: Understand and Use Percent,Term 3,,,,,
6.SP.A.1,6.SP.A.1,"Recognize a statistical question as one that anticipates variability in the data related to the question and accounts for it in the answers. For example, “How old am I?” is not a statistical question, but “How old are the students in my school?” is a statistical question because one anticipates variability in students’ ages.",Statistics and Probability,Develop understanding of statistical variability.,"Topic 8: Display, Describe, and Summarize Data",Term 3,10,,,,
6.SP.A.2,6.SP.A.2,"Understand that a set of data collected to answer a statistical question has a distribution, which can be described by its center (median, mean, and/or mode), spread (range, interquartile range), and overall shape.",Statistics and Probability,Develop understanding of statistical variability.,"Topic 8: Display, Describe, and Summarize Data",Term 3,,,,,
6.SP.A.3,6.SP.A.3,"Recognize that a measure of center for a numerical data set summarizes all of its values with a single number, while a measure of variation describes how its values vary with a single number.",Statistics and Probability,Develop understanding of statistical variability.,"Topic 8: Display, Describe, and Summarize Data",Term 3,,,,,
6.SP.B.4,6.SP.B.4,"Display numerical data in plots on a number line, including dot plots, histograms, and box plots.",Statistics and Probability,Summarize and describe distributions.,"Topic 8: Display, Describe, and Summarize Data",Term 3,,,,,
6.SP.B.4.a,6.SP.B.4,Read and interpret circle graphs.,Statistics and Probability,Summarize and describe distributions.,"Topic 8: Display, Describe, and Summarize Data",Term 3,,,,,
6.SP.B.5,6.SP.B.5,"Summarize numerical data sets in relation to their context, such as by:",Statistics and Probability,Summarize and describe distributions.,"Topic 8: Display, Describe, and Summarize Data",Term 3,,,,,
6.SP.B.5.a,6.SP.B.5,Reporting the number of observations.,Statistics and Probability,Summarize and describe distributions.,"Topic 8: Display, Describe, and Summarize Data",Term 3,,,,,
6.SP.B.5.b,6.SP.B.5,"Describing the nature of the attribute under investigation, including how it was measured and its units of measurement.",Statistics and Probability,Summarize and describe distributions.,"Topic 8: Display, Describe, and Summarize Data",Term 3,,,,,
6.SP.B.5.c,6.SP.B.5,"Giving quantitative measures of center (median, and/or mean) and variability (range and/or interquartile range), as well as describing any overall pattern and any striking deviations from the overall pattern with reference to the context in which the data were gathered.",Statistics and Probability,Summarize and describe distributions.,"Topic 8: Display, Describe, and Summarize Data",Term 3,,,,,
6.SP.B.5.d,6.SP.B.5,Relating the choice of measures of center and variability to the shape of the data distribution and the context in which the data were gathered.,Statistics and Probability,Summarize and describe distributions.,"Topic 8: Display, Describe, and Summarize Data",Term 3,,,,,
