Standard,Standard_Item_Report,Description,Reporting Category,Domain,Cluster,Unit,Term,Number of Class Sessions Including Review and Assessment,Instructional Days,Needed Calendar Days
AI.A-REI.C.6,AI.A-REI.C.6 MI.A-REI.C.6,"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.C.7,AI.A-REI.C.7 MII.A-REI.C.7,"Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically. For example, find the points of intersection between the line y = –3x and the circle x2 + y2 = 3.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.D.10,AI.A-REI.D.10 MI.A-REI.D.10,"Understand that the graph of an equation in two variables is the set of all its solutions plotted in the
coordinate plane, often forming a curve (which could be a line). Show that any point on the graph of an
equation in two variables is a solution to the equation.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.D.11,AI.A-REI.D.11 MI.A-REI.D.11,"Explain why the x-coordinates of the points where the graphs of the equations y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x); find the solutions approximately, e.g., using Massachusetts Curriculum Framework for Mathematics 112 technology to graph the functions and make tables of values. Include cases where f(x) and/or g(x) are linear and exponential functions.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.D.12,AI.A-REI.D.12 MI.A-REI.D.12,"Graph the solutions of a linear inequality in two variables as a half-plane (excluding the boundary in the
case of a strict inequality), and graph the solution set of a system of linear inequalities in two variables
as the intersection of the corresponding half-planes.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.F-IF.A.1,AI.F-IF.A.1 MI.F-IF.A.1,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output (range) of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).",Functions,Interpreting Functions,,,,,,
AI.F-IF.A.2,AI.F-IF.A.2 MI.F-IF.A.2,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context. For example, given a function representing a car loan, determine the balance of the loan at different points in time.",Functions,Interpreting Functions,,,,,,
AI.F-IF.A.3,AI.F-IF.A.3 MI.F-IF.A.3,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers. For example, the Fibonacci sequence is defined recursively by f(0) = f(1) = 1, f(n + 1) = f(n) + f(n + 1) for n ≥ 1.",Functions,Interpreting Functions,,,,,,
AI.F-IF.B.4,AI.F-IF.B.4 MI.F-IF.B.4,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship. Key features include: intercepts; intervals where the function is increasing, decreasing, positive, or negative; relative maximums and minimums; symmetries; and end behavior.",Functions,Interpreting Functions,,,,,,
AI.F-IF.B.5,AI.F-IF.B.5 MI.F-IF.B.5 MII.F-IF.B.5,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes. For example, if the function h(n) gives the number of person-hours it takes to assemble n engines in a factory, then the positive integers would be an appropriate domain for the function",Functions,Interpreting Functions,,,,,,
AI.F-IF.B.6,AI.F-IF.B.6 MI.F-IF.B.6 MII.F-IF.B.6,Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.,Functions,Interpreting Functions,,,,,,
AI.F-IF.C.7,AI.F-IF.C.7 MI.F-IF.C.7 MII.F-IF.C.7," Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and
using technology for more complicated cases.",Functions,Interpreting Functions,,,,,,
AI.F-IF.C.7.a,AI.F-IF.C.7 MI.F-IF.C.7 MII.F-IF.C.7,"Graph linear and quadratic functions and show intercepts, maxima, and minima.",Functions,Interpreting Functions,,,,,,
AI.F-IF.C.7.b,AI.F-IF.C.7 MII.F-IF.C.7,"Graph piecewise-defined functions, including step functions and absolute value functions.",Functions,Interpreting Functions,,,,,,
AI.F-IF.C.7.e,AI.F-IF.C.7 MI.F-IF.C.7,Graph exponential functions showing intercepts and end behavior.,Functions,Interpreting Functions,,,,,,
AI.F-IF.C.8,AI.F-IF.C.8 MII.F-IF.C.8,"Use the process of factoring and completing the square in a quadratic function to show zeros, maximum/minimum values, and symmetry of the graph, and interpret these in terms of a context.",Functions,Interpreting Functions,,,,,,
AI.F-IF.C.8.a,AI.F-IF.C.8 MII.F-IF.C.8,"Use the process of factoring and completing the square in a quadratic function to show zeros, maximum/minimum values, and symmetry of the graph, and interpret these in terms of a context.",Functions,Interpreting Functions,,,,,,
AI.F-IF.C.8.b,AI.F-IF.C.8 MII.F-IF.C.8,"Use the properties of exponents to interpret expressions for exponential functions. Apply to
financial situations such as identifying appreciation and depreciation rate for the value of a
house or car some time after its initial purchase: .
For example, identify percent rate of change in functions such as y = (1.02)t, y = (0.97)t, y = (1.01)12t,and y = (1.2) t ∕10, and classify them as representing exponential growth or decay.",Functions,Interpreting Functions,,,,,,
AI.F-IF.C.9,AI.F-IF.C.9 MI.F-IF.C.9 MII.F-IF.C.9,"Translate among different representations of functions (algebraically, graphically, numerically in tables,
or by verbal descriptions). Compare properties of two functions each represented in a different way. 
Massachusetts Curriculum Framework for Mathematics 113
For example, given a graph of one quadratic function and an algebraic expression for another, say
which has the larger maximum. ",Functions,Interpreting Functions,,,,,,
AI.F-BF.A.1,AI.F-BF.A.1 MI.F-BF.A.1  MII.F-BF.A.1,"Write linear, quadratic, and exponential functions that describe a relationship between
two quantities.",Functions,Building Functions,,,,,,
AI.F-BF.A.1.a,AI.F-BF.A.1 MI.F-BF.A.1  MII.F-BF.A.1,"Determine an explicit expression, a recursive process, or steps for calculation from a context.",Functions,Building Functions,,,,,,
AI.F-BF.A.1.b,AI.F-BF.A.1 MI.F-BF.A.1  MII.F-BF.A.1,"Combine standard function types using arithmetic operations.
For example, build a function that models the temperature of a cooling body by adding a constant
function to a decaying exponential, and relate these functions to the model.",Functions,Building Functions,,,,,,
AI.F-BF.A.2,AI.F-BF.A.2 MI.F-BF.A.2,"Write arithmetic and geometric sequences both recursively and with an explicit formula them to model
situations, and translate between the two forms.",Functions,Building Functions,,,,,,
AI.F-BF.B.3,AI.F-BF.B.3 MI.F-BF.B.3 MII.F-BF.B.3,"Identify the effect on the graph of replacing f(x) by f(x) + k, kf(x), f(kx), and f (x + k) for specific values of k (both positive and negative); find the value of k given the graphs. Include linear, quadratic, exponential, and absolute value functions. Utilize technology to experiment with cases and illustrate an explanation of the effects on the graph.",Functions,Building Functions,,,,,,
AI.F-BF.B.4,AI.F-BF.B.4 MII.F-BF.B.4,Find inverse functions algebraically and graphically,Functions,Building Functions,,,,,,
AI.F-BF.B.4.a,AI.F-BF.B.4 MII.F-BF.B.4,Solve an equation of the form f(x) = c for a linear function f that has an inverse and write an expression for the inverse.,Functions,Building Functions,,,,,,
AI.F-LE.A1,AI.F-LE.A.1 MI.F-LE.A.1,Distinguish between situations that can be modeled with linear functions and with exponential functions.,Functions,Linear Quadratic and Exponential Models,,,,,,
AI.F-LE.A.1.a,AI.F-LE.A.1 MI.F-LE.A.1,"Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals.",Functions,Linear Quadratic and Exponential Models,,,,,,
AI.F-LE.A.1.b,AI.F-LE.A.1 MI.F-LE.A.1,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another,Functions,Linear Quadratic and Exponential Models,,,,,,
AI.F-LE.A.1.c,AI.F-LE.A.1 MI.F-LE.A.1,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.,Functions,Linear Quadratic and Exponential Models,,Topic 6: Exponents and Exponential Functions,,,,
AI.F-LE.A.2,AI.F-LE.A.2 MI.F-LE.A.2,"Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (including reading these from a table).",Functions,Linear Quadratic and Exponential Models,,,,,,
AI.F-LE.A.3,AI.F-LE.A.3 MI.F-LE.A.3 MII.F-LE.A.3,"Observe, using graphs and tables, that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function.",Functions,Linear Quadratic and Exponential Models,,,,,,
AI.F-LE.B.5,AI.F-LE.B.5 MI.F-LE.B.5, Interpret the parameters in a linear or exponential function (of the form f(x) = bx + k) in terms of a context.,Functions,Linear Quadratic and Exponential Models,,,,,,
AI.S-ID.A.1,AI.S-ID.A.1 MI.S-ID.A.1,"Represent data with plots on the real number line (dot plots, histograms, and box plots).",Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.A.2,AI.S-ID.A.2 MI.S-ID.A.2,"Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets.",Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.A.3,AI.S-ID.A.3 MI.S-ID.A.3,"Interpret differences in shape, center, and spread in the context of the data sets, accounting for possible effects of extreme data points (outliers).",Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.5,AI.S-ID.B.5 MI.S-ID.B.5,"Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data.",Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.6,AI.S-ID.B.6 M1.S-ID.B.6,"Represent data on two quantitative variables on a scatter plot, and describe how the variables are related.",Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.6.a,AI.S-ID.B.6 MI.S-ID.B.6,Fit a linear function to the data and use the fitted function to solve problems in the context of the data. Use functions fitted to data or choose a function suggested by the context (emphasize linear and exponential models).,Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.6.b,AI.S-ID.B.6 MI.S-ID.B.6,Informally assess the fit of a function by plotting and analyzing residuals.,Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.6.c,AI.S-ID.B.6 MI.S-ID.B.6,Fit a linear function for a scatter plot that suggests a linear association.,Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.C.7,AI.S-ID.C.7 MI.S-ID.C.7,Interpret the slope (rate of change) and the intercept (constant term) of a linear model in the context of the data.,Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.C.8,AI.S-ID.C.8 MI.S-ID.C.8,Compute (using technology) and interpret the correlation coefficient of a linear fit.,Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.C.9,AI.S-ID.C.9 MI.S-ID.C.9,Distinguish between correlation and causation.,Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
GEO.G-C.A.1,GEO.G-C.A.1,Prove that all circles are similar.,Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 10: Circles,,,,
GEO.G-C.A.2,GEO.G-C.A.2,"Identify and describe relationships among inscribed angles, radii, and chords. Include the relationship between central, inscribed, and circumscribed angles; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the tangent where the radius intersects the circle.",Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 10: Circles,,,,
GEO.G-C.A.3,GEO.G-C.A.3,"Construct the inscribed and circumscribed circles of a triangle, and prove properties of angles for a quadrilateral and other polygons inscribed in a circle.",Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 10: Circles,,,,
GEO.G-C.A.4,GEO.G-C.A.4, (+) Construct a tangent line from a point outside a given circle to the circle.,Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 10: Circles,,,,
GEO.G-C.B.5,GEO.G-C.B.5,"Derive, using similarity, the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector. ",Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 10: Circles,,,,
GEO.G-C.B.5,GEO.G-C.B.5,"Derive, using similarity, the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector. ",Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 11: Measurement,,,,
GEO.G-CO.A.1,GEO.G-CO.A.1,"Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc.",Geometry,Congruence,,Module 1: Tools of Geometry,,,,
GEO.G-CO.A.1,GEO.G-CO.A.1,"Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc.",Geometry,Congruence,,Module 2: Angles and Geometric Figures,,,,
GEO.G-CO.A.2,GEO.G-CO.A.2,"Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and angle to those that do not (e.g., translation versus horizontal stretch).",Geometry,Congruence,,Module 1: Tools of Geometry,,,,
GEO.G-CO.A.2,GEO.G-CO.A.2,"Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and angle to those that do not (e.g., translation versus horizontal stretch).",Geometry,Congruence,,Module 2: Angles and Geometric Figures,,,,
GEO.G-CO.A.2,GEO.G-CO.A.2,"Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and angle to those that do not (e.g., translation versus horizontal stretch).",Geometry,Congruence,,Module 8: Similarity,,,,
GEO.G-CO.A.3,GEO.G-CO.A.3,". Given a rectangle, parallelogram, trapezoid, or regular polygon, describe the rotations and reflections that carry it onto itself",Geometry,Congruence,,Module 4: Transformations and Symmetry,,,,
GEO.G-CO.A.4,GEO.G-CO.A.4,"Develop definitions of rotations, reflections, and translations in terms of angles, circles, perpendicular lines, parallel lines, and line segments.",Geometry,Congruence,,Module 4: Transformations and Symmetry,,,,
GEO.G-CO.A.5,GEO.G-CO.A.5,"Given a geometric figure and a rotation, reflection, or translation, draw the transformed figure using graph paper, tracing paper, or geometry software. Specify a sequence of transformations that will carry a given figure onto another.",Geometry,Congruence,,Module 4: Transformations and Symmetry,,,,
GEO.G-CO.B.6,GEO.G-CO.B.6," Use geometric descriptions of rigid motions to transform figures and to predict the effect of a given rigid motion on a given figure; given two figures, use the definition of congruence in terms of rigid motions to decide if they are congruent.",Geometry,Congruence,,Module 4: Transformations and Symmetry,,,,
GEO.G-CO.B.7,GEO.G-CO.B.7,Use the definition of congruence in terms of rigid motions to show that two triangles are congruent if and only if corresponding pairs of sides and corresponding pairs of angles are congruent. ,Geometry,Congruence,,Module 5: Triangles and Congruence,,,,
GEO.G-CO.B.8,GEO.G-CO.B.8,"Explain how the criteria for triangle congruence (ASA, SAS, and SSS) follow from the definition of congruence in terms of rigid motions.",Geometry,Congruence,,Module 5: Triangles and Congruence,,,,
GEO.G-CO.C.10,GEO.G-CO.C.10,"Prove theorems about triangles. Theorems include: measures of interior angles of a triangle sum to 180°; base angles of isosceles triangles are congruent, and conversely prove a triangle is isosceles; the segment joining midpoints of two sides of a triangle is parallel to the third side and half the length; the medians of a triangle meet at a point.",Geometry,Congruence,,Module 5: Triangles and Congruence,,,,
GEO.G-CO.C.10,GEO.G-CO.C.10,"Prove theorems about triangles. Theorems include: measures of interior angles of a triangle sum to 180°; base angles of isosceles triangles are congruent, and conversely prove a triangle is isosceles; the segment joining midpoints of two sides of a triangle is parallel to the third side and half the length; the medians of a triangle meet at a point.",Geometry,Congruence,,Module 6: Relationships in Triangles,,,,
GEO.G-CO.C.10,GEO.G-CO.C.10,"Prove theorems about triangles. Theorems include: measures of interior angles of a triangle sum to 180°; base angles of isosceles triangles are congruent, and conversely prove a triangle is isosceles; the segment joining midpoints of two sides of a triangle is parallel to the third side and half the length; the medians of a triangle meet at a point.",Geometry,Congruence,,Module 8: Similarity,,,,
GEO.G-CO.C.11,GEO.G-CO.C.11,"Prove theorems about parallelograms. Theorems include: opposite sides are congruent, opposite angles are congruent, the diagonals of a parallelogram bisect each other, and conversely, rectangles are parallelograms with congruent diagonals.",Geometry,Congruence,,Module 7: Quadrilaterals,,,,
GEO.G-CO.C.11.a,GEO.G-CO.C.11,Prove theorems about polygons. Theorems include the measures of interior and exterior angles. Apply properties of polygons to the solutions of mathematical and contextual problems. ,Geometry,Congruence,,Module 7: Quadrilaterals,,,,
GEO.G-CO.C.9,GEO.G-CO.C.9,"Prove theorems about lines and angles. Theorems include: vertical angles are congruent; when a transversal crosses parallel lines, alternate interior angles are congruent and corresponding angles are congruent, and conversely prove lines are parallel; points on a perpendicular bisector of a line segment are exactly those equidistant from the segment’s endpoints.",Geometry,Congruence,,Module 3: Logical Arguments and Line Relationships,,,,
GEO.G-CO.C.9,GEO.G-CO.C.9,"Prove theorems about lines and angles. Theorems include: vertical angles are congruent; when a transversal crosses parallel lines, alternate interior angles are congruent and corresponding angles are congruent, and conversely prove lines are parallel; points on a perpendicular bisector of a line segment are exactly those equidistant from the segment’s endpoints.",Geometry,Congruence,,Module 6: Relationships in Triangles,,,,
GEO.G-CO.D.12,GEO.G-CO.D.12,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Constructions include: copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line.",Geometry,Congruence,,Module 1: Tools of Geometry,,,,
GEO.G-CO.D.12,GEO.G-CO.D.12,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Constructions include: copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line.",Geometry,Congruence,,Module 2: Angles and Geometric Figures,,,,
GEO.G-CO.D.12,GEO.G-CO.D.12,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Constructions include: copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line.",Geometry,Congruence,,Module 3: Logical Arguments and Line Relationships,,,,
GEO.G-CO.D.12,GEO.G-CO.D.12,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Constructions include: copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line.",Geometry,Congruence,,Module 5: Triangles and Congruence,,,,
GEO.G-CO.D.12,GEO.G-CO.D.12,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Constructions include: copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line.",Geometry,Congruence,,Module 8: Similarity,,,,
GEO.G-CO.D.13,GEO.G-CO.D.13,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle.",Geometry,Congruence,,Module 10: Circles,,,,
GEO.G-GMD.A.1,GEO.G-GMD.A.1,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone. Use dissection arguments, Cavalieri’s principle, and informal limit arguments.",Geometry,Geometric Measurement and Dimension,,Module 10: Circles,,,,
GEO.G-GMD.A.1,GEO.G-GMD.A.1,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone. Use dissection arguments, Cavalieri’s principle, and informal limit arguments.",Geometry,Geometric Measurement and Dimension,,Module 11: Measurement,,,,
GEO.G-GMD.A.2,GEO.G-GMD.A.2,(+) Give an informal argument using Cavalieri’s principle for the formulas for the volume of a sphere and other solid figures.,Geometry,Geometric Measurement and Dimension,,Module 11: Measurement,,,,
GEO.G-GMD.A.3,GEO.G-GMD.A.3,"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems.",Geometry,Geometric Measurement and Dimension,,Module 2: Angles and Geometric Figures,,,,
GEO.G-GMD.A.3,GEO.G-GMD.A.3,"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems.",Geometry,Geometric Measurement and Dimension,,Module 11: Measurement,,,,
GEO.G-GMD.B.4,GEO.G-GMD.B.4,"Identify the shapes of two-dimensional cross-sections of three-dimensional objects, and identify three-dimensional objects generated by rotations of two-dimensional objects.",Geometry,Geometric Measurement and Dimension,,Module 11: Measurement,,,,
GEO.G-GPE.A.1,GEO.G-GPE.A.1,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.,Geometry,Expressing Geometric Properties with Equations,,Module 10: Circles,,,,
GEO.G-GPE.A.2,GEO.G-GPE.A.2,Derive the equation of a parabola given a focus and directrix.,Geometry,Expressing Geometric Properties with Equations,,Module 10: Circles,,,,
