Standard,Standard_Item_Report,Description,Reporting Category,Unit,Term,Course,Number of Class Sessions Including Review and Assessment,139,,
5.G.A.1,5.G.A.1,"Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the zero on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond (e.g., x-axis and x-coordinate, y-axis and y-coordinate).",Geometry,Topic 14: Graph Points on the Coordinate Plane,Term 1,STEM,6,,,
5.G.A.2,5.G.A.2,"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",Geometry,Topic 14: Graph Points on the Coordinate Plane,Term 1,STEM,,,,
5.G.A.2,5.G.A.2,"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",Geometry,Topic 15: Algebra Analyze Patterns and Relationships,Term 3,STEM,6,,,
5.OA.B.3,5.OA.B.3,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane. For example, given the rule Add 3 and the starting number 0, and given the rule Add 6 and the starting number 0, generate terms in the resulting sequences, and observe that the terms in one sequence are twice the corresponding terms in the other sequence. Explain informally why this is so.",Operations and Algebraic Thinking,Topic 15: Algebra Analyze Patterns and Relationships,Term 3,STEM,,,,
5.NBT.A.1,5.NBT.A.1,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left.",Number and Operations in Base Ten,Topic 1: Understanding Place Value,Term 1,Math,9,,,
5.NBT.A.2,5.NBT.A.1,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",Number and Operations in Base Ten,Topic 1: Understanding Place Value,Term 1,Math,,,104,35
5.NBT.A.3,5.NBT.A.3,"Read, write, and compare decimals to thousandths.",Number and Operations in Base Ten,Topic 1: Understanding Place Value,Term 1,Math,,,,
5.NBT.A.3a,5.NBT.A.3,"Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, e.g., 347.392 = 3 x 100 + 4 x 10 + 7 x 1 + 3 x (1/10) + 9 x (1/100) + 2 x (1/1000)",Number and Operations in Base Ten,Topic 1: Understanding Place Value,Term 1,Math,,,Math Instructional Days,STEM Instructional Days
5.NBT.A.3b,5.NBT.A.3,"Compare two decimals to thousandths based on meanings of the digits in each place, using >, =, and <, symbols to record the results of comparisons.",Number and Operations in Base Ten,Topic 1: Understanding Place Value,Term 1,Math,,,,
5.NBT.A.4,5.NBT.A.4,Use place value understanding to round decimals to any place.,Number and Operations in Base Ten,Topic 1: Understanding Place Value,Term 1,Math,,,,
5.NBT.B.7,5.NBT.B.7,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",Number and Operations in Base Ten,Topic 2: Use Models and Strategies to Add and Subtract Decimals,Term 1,Math,8,,,
5.NBT.A.2,5.NBT.A.2,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",Number and Operations in Base Ten,Topic 3: Fluently Multiply Multi Digit Whole Numbers,Term 1,Math,11,,,
5.NBT.B.5,5.NBT.B.5,Fluently multiply multi-digit whole numbers using the standard algorithm.,Number and Operations in Base Ten,Topic 3: Fluently Multiply Multi Digit Whole Numbers,Term 1,Math,,,,
5.NBT.A.2,5.NBT.A.2,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",Number and Operations in Base Ten,Topic 4: Use Models and Strategies to Multiply Decimals,Term 2,Math,11,,,
5.NBT.B.7,5.NBT.B.7,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",Number and Operations in Base Ten,Topic 4: Use Models and Strategies to Multiply Decimals,Term 2,Math,,,,
5.NBT.B.6,5.NBT.B.6,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",Number and Operations in Base Ten,Topic 5: Use Models and Strategies to Divide Whole Numbers,Term 2,Math,10,,,
5.NBT.A.2,5.NBT.A.2,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",Number and Operations in Base Ten,Topic 6: Use Models and Strategies to Divide Decimals,Term 2,Math,8,,,
5.NBT.B7,5.NBT.B7,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",Number and Operations in Base Ten,Topic 6: Use Models and Strategies to Divide Decimals,Term 2,Math,,,,
5.NF.A.2,5.NF.A.2,"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers.",Number and Operations Fractions,Topic 7: Use Equivelent Fractions and Strategies to Add and Subtract Fractions,Term 2,Math,14,,,
5.NF.A.1,5.NF.A.1,"Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators. For example, 2/3 + 5/4 = 8/12 + 15/12 = 23/12. (In general, a/b + c/d = (ad + bc)/bd.)",Number and Operations Fractions,Topic 7: Use Equivelent Fractions and Strategies to Add and Subtract Fractions,Term 2,Math,,,,
5.NF.B.4,5.NF.B.4,Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,Number and Operations Fractions,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Term 3,Math,11,,,
5.NF.B.4a,5.NF.B.4,"Interpret the product (a ∕b) x q as a parts of a partition of q into b equal parts; equivalently, as the result of a sequence of operations a x q / b.",Number and Operations Fractions,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Term 3,Math,,,,
5.NF.B.4b,5.NF.B.4,"Find the area of a rectangle with fractional side lengths by tiling it with unit squares of the appropriate unit fraction side lengths, and show that the area is the same as would be found by multiplying the side lengths. Multiply fractional side lengths to find areas of rectangles, and represent fraction products as rectangular areas.",Number and Operations Fractions,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Term 3,Math,,,,
5.NF.B.6,5.NF.B.6,"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem.",Number and Operations Fractions,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Term 3,Math,,,,
5.NF.B.4,5.NF.B.4,. Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,Number and Operations Fractions,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Term 3,Math,,,,
5.NF.B.5,5.NF.B.5,Interpret multiplication as scaling (resizing),Number and Operations Fractions,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Term 3,Math,,,,
5.NF.B.5.a,5.NF.B.5,"Comparing the size of a product to the size of one factor on the basis of the size of the other factor, without performing the indicated multiplication.",Number and Operations Fractions,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Term 3,Math,,,,
5.NF.B.5.b,5.NF.B.5,Explaining why multiplying a given number by a fraction greater than 1 results in a product greater than the given number (recognizing multiplication by whole numbers greater than 1 as a familiar case); explaining why multiplying a given number by a fraction less than 1 results in a product smaller than the given number; and relating the principle of fraction equivalence a/b = (n x a)/(n x b) to the effect of multiplying a/b by 1.,Number and Operations Fractions,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Term 3,Math,,,,
5.NF.B.7,5.NF.B.7,Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.,Number and Operations Fractions,Topic 9: Apply Understanding of Division to Divide Fractions,Term 3,Math,10,,,
5.NF.B.7.c,5.NF.B.7,"Solve real world problems involving division of unit fractions by non-zero whole numbers and division of whole numbers by unit fractions, e.g., by using visual fraction models and equations to represent the problem.",Number and Operations Fractions,Topic 9: Apply Understanding of Division to Divide Fractions,Term 3,Math,,,,
5.NF.B.7.a,5.NF.B.7,"Interpret division of a unit fraction by a non-zero whole number, and compute such quotients",Number and Operations Fractions,Topic 9: Apply Understanding of Division to Divide Fractions,Term 3,Math,,,,
5.NF.B.7.b,5.NF.B.7,"Interpret division of a whole number by a unit fraction, and compute such quotients.",Number and Operations Fractions,Topic 9: Apply Understanding of Division to Divide Fractions,Term 3,Math,,,,
5.NF.B.3,5.NF.B.3,"Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem. For example, interpret 3/4 as the result of dividing 3 by 4, noting that 3/4 multiplied by 4 equals 3, and that when 3 wholes are shared equally among 4 people each person has a share of size 3/4. If 9 people want to share a 50-pound sack of rice equally by weight, how many pounds of rice should each person get? Between what two whole numbers does your answer lie?",Number and Operations Fractions,Topic 9: Apply Understanding of Division to Divide Fractions,Term 3,Math,,,,
5.OA.A.1,5.OA.A.1,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",Operations and Algebraic Thinking,Topic 13: Write and Interpret Numerical Expressions,Term 3,Math,5,,,
5.OA.A.2,5.OA.A.2,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them.",Operations and Algebraic Thinking,Topic 13: Write and Interpret Numerical Expressions,Term 3,Math,,,,
5.G.B.3,5.G.B.3,"Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. For example, all rectangles have four right angles and squares are rectangles, so all squares have four right angles.",Geometry,Topic 16: Geometric Measurement: Classify Two Dimensional Figures,Term 4,Math,6,,,
5.G.B.4,5.G.B.4,Classify two-dimensional figures in a hierarchy based on properties.,Geometry,Topic 16: Geometric Measurement: Classify Two Dimensional Figures,Term 4,Math,,,,
