Standard,Standard_Item_Report,Description,Reporting Category,Unit,Term,Number of Class Sessions Including Review and Assessment,Instructional Days,82,Needed Calendar Days,98.4
8.G.A.1,8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Geometry,Topic 6: Congruence and Similarity,Term 1,14,,,,
8.G.A.1.a,8.G.A.1,"Lines are transformed to lines, and line segments to line segments of the same length.",Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.A.1.b,8.G.A.1,Angles are transformed to angles of the same measure.,Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.A.1.c,8.G.A.1,Parallel lines are transformed to parallel lines.,Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.A.2,8.G.A.2,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations. Given two congruent figures, describe a sequence that exhibits the congruence between them.",Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.A.3,8.G.A.3,"Describe the effects of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.A.4,8.G.A.4,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the
first by a sequence of rotations, reflections, translations, and dilations. Given two similar twodimensional figures, describe a sequence that exhibits the similarity between them.",Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.A.5,8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles. For example, arrange three copies of the same triangle so that the sum of the three angles appears to form a line, and give an argument in terms of transversals why this is so.",Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.B.6,8.G.B.6,Understand and apply the Pythagorean Theorem.,Geometry,Topic 7: Understand and Apply the Pythagorean Theorem,Term 1,8,,,,
8.G.B.6.a,8.G.B.6,Understand the relationship among the sides of a right triangle.,Geometry,Topic 7: Understand and Apply the Pythagorean Theorem,Term 1,,,,,
8.G.B.6.b,8.G.B.6,"Analyze and justify the Pythagorean Theorem and its converse using pictures, diagrams, narratives, or models.",Geometry,Topic 7: Understand and Apply the Pythagorean Theorem,Term 1,,,,,
8.G.B.7,8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Geometry,Topic 7: Understand and Apply the Pythagorean Theorem,Term 1,,,,,
8.G.B.8,8.G.B.8, Apply the Pythagorean Theorem to find the distance between two points in a coordinate system.,Geometry,Topic 7: Understand and Apply the Pythagorean Theorem,Term 1,,,,,
8.G.C.9,8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres, and use them to solve real-world and mathematical problems.",Geometry,Topic 8: Solve Problems Involving Surface Area and Volume,Term 1,8,,,,
