"","adminyear","grade","eitem1","eitem2","eitem3","eitem4","eitem5","eitem6","eitem7","eitem8","eitem9","eitem10","eitem11","eitem12","eitem13","eitem14","eitem15","eitem16","eitem17","eitem18","eitem19","eitem20","eitem21","eitem22","eitem23","eitem24","eitem25","eitem26","eitem27","eitem28","eitem29","eitem30","eitem31","eitem32","mitem1","mitem2","mitem3","mitem4","mitem5","mitem6","mitem7","mitem8","mitem9","mitem10","mitem11","mitem12","mitem13","mitem14","mitem15","mitem16","mitem17","mitem18","mitem19","mitem20","mitem21","mitem22","mitem23","mitem24","mitem25","mitem26","mitem27","mitem28","mitem29","mitem30","mitem31","mitem32","mitem33","mitem34","mitem35","mitem36","mitem37","mitem38","mitem39","mitem40","mitem41","mitem42","sitem1","sitem2","sitem3","sitem4","sitem5","sitem6","sitem7","sitem8","sitem9","sitem10","sitem11","sitem12","sitem13","sitem14","sitem15","sitem16","sitem17","sitem18","sitem19","sitem20","sitem21","sitem22","sitem23","sitem24","sitem25","sitem26","sitem27","sitem28","sitem29","sitem30","sitem31","sitem32","sitem33","sitem34","sitem35","sitem36","sitem37","sitem38","sitem39","sitem40","sitem41","sitem42","sitem43","sitem44","sitem45","eteststat","mteststat","steststat","ssubject","ssubject_prior","erawsc","mrawsc","srawsc","escaleds","mscaleds","sscaleds","escaleds2019","escaleds2021","escaleds2022","mscaleds2019","mscaleds2021","mscaleds2022","escaleds.legacy.equivalent","mscaleds.legacy.equivalent","sscaleds.legacy.equivalent","sscaleds_prior","sscaleds.highest.on.nextGen.scale","eperflev","mperflev","sperflev","eperf2","mperf2","sperf2","eassess","massess","sassess","esgp","msgp","esgp2019","esgp2021","esgp2022","msgp2019","msgp2021","msgp2022","idea1","idea2","conv1","conv2","eattempt","mattempt","sattempt","grade2021"
"12",2023,"05",1,0,2,0,1,1,1,1,1,0,2,NA,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,NA,1,0,1,1,0,1,1,2,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,3,3,1,1,0,1,1,NA,NA,1,0,0,1,3,1,1,0,1,1,1,0,1,1,0,1,2,1,1,1,1,1,1,1,1,0,2,2,0,1,1,1,0,1,1,1,3,2,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,32,32,41,500,501,518,NA,518,503,NA,536,517,NA,NA,NA,NA,NA,"M","M","Meeting","Meeting","Meeting","Meeting",1,1,1,26,3,NA,NA,35,NA,NA,21,"BL","0","BL","1","F","F","F","03"
"13",2023,"05",1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,2,0,NA,0,1,0,0,1,0,0,2,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,NA,NA,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,2,1,0,1,0,NA,NA,NA,NA,"T","T","T",NA,NA,16,21,21,469,485,476,NA,451,474,NA,482,476,NA,NA,NA,NA,NA,"NM","PM","Partially Meeting","Not Meeting","Partially Meeting","Partially Meeting",1,1,1,43,62,NA,NA,74,NA,NA,16,"1","0","0","0","F","F","F","03"
"14",2023,"05",1,1,2,1,1,0,1,1,1,1,1,4,1,0,1,1,2,0,1,1,1,2,0,0,1,1,1,0,1,2,2,NA,1,1,1,1,1,1,1,4,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,3,1,1,1,0,0,NA,NA,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,2,0,1,1,1,1,1,0,1,1,2,1,1,1,1,0,1,0,1,1,3,1,0,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,33,45,36,503,522,506,NA,499,510,NA,519,513,NA,NA,NA,NA,NA,"M","M","Meeting","Meeting","Meeting","Meeting",1,1,1,37,78,NA,NA,91,NA,NA,32,"2","1","2","1","F","F","F","03"
"15",2023,"05",1,1,2,1,1,1,0,1,1,1,2,2,1,1,1,1,2,0,1,1,1,2,1,1,1,1,1,1,1,2,4,NA,1,1,1,0,3,1,1,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,4,2,1,1,1,1,0,NA,NA,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,2,0,1,1,1,0,1,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,"T","T","T",NA,NA,38,40,32,517,513,498,NA,512,543,NA,532,524,NA,NA,NA,NA,NA,"M","M","Partially Meeting","Meeting","Meeting","Partially Meeting",1,1,1,28,16,NA,NA,99,NA,NA,45,"1","2","1","2","F","F","F","03"
"16",2023,"05",1,1,2,0,1,1,1,0,1,0,2,2,1,1,1,0,2,0,0,1,1,2,1,0,0,0,1,0,1,2,2,NA,1,1,1,0,1,1,1,4,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,2,3,1,1,1,1,1,NA,NA,1,0,0,0,2,0,0,1,1,0,1,0,1,0,1,1,2,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,2,2,0,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,28,38,29,492,510,492,NA,492,474,NA,492,513,NA,NA,NA,NA,NA,"PM","M","Partially Meeting","Partially Meeting","Meeting","Partially Meeting",1,1,1,85,59,NA,NA,14,NA,NA,88,"1","1","1","1","F","F","F","03"
"17",2023,"05",1,1,2,0,1,1,1,1,1,1,2,1,1,1,1,1,2,0,0,1,1,1,1,0,1,0,1,0,1,2,2,NA,1,1,1,0,2,0,0,2,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,2,2,0,1,1,1,0,NA,NA,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,2,0,0,1,1,1,0,0,1,0,1,2,1,1,0,0,1,0,1,0,0,0,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,30,30,25,496,498,484,NA,502,492,NA,510,502,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",1,1,1,50,25,NA,NA,40,NA,NA,20,"1","1","0","1","F","F","F","03"
"18",2023,"05",1,1,2,1,0,1,1,0,0,1,1,1,1,1,1,1,2,0,1,1,1,2,1,1,1,1,1,0,1,2,1,NA,0,0,1,0,2,0,1,2,0,0,2,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,3,1,1,1,1,1,1,NA,NA,1,0,1,1,2,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,2,1,2,1,0,1,1,0,1,1,1,1,2,1,1,1,0,NA,NA,NA,NA,"T","T","T",NA,NA,30,27,33,496,494,499,NA,512,494,NA,478,493,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",1,1,1,34,58,NA,NA,20,NA,NA,69,"1","1","0","0","F","F","F","03"
"19",2023,"05",1,0,2,0,1,1,1,0,1,1,2,4,1,1,0,1,1,0,1,1,1,2,0,1,1,1,1,0,1,0,2,NA,1,0,0,0,1,0,1,2,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,0,0,0,1,1,0,NA,NA,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,2,1,1,0,1,1,0,1,1,0,2,1,1,1,1,0,0,0,0,1,0,0,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,30,20,27,496,484,488,NA,492,490,NA,478,480,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",1,1,1,64,51,NA,NA,59,NA,NA,30,"2","1","2","1","F","F","F","03"
"20",2023,"05",0,0,2,0,1,1,0,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,2,1,NA,0,1,0,0,2,1,1,2,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,3,2,0,0,1,0,0,NA,NA,1,1,1,1,2,1,1,1,1,0,1,0,1,1,3,1,2,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,0,1,0,1,2,2,1,0,1,NA,NA,NA,NA,"T","T","T",NA,NA,26,25,42,488,491,521,NA,506,498,NA,504,501,NA,NA,NA,NA,NA,"PM","PM","Meeting","Partially Meeting","Partially Meeting","Meeting",1,1,1,10,12,NA,NA,49,NA,NA,29,"1","1","1","0","F","F","F","03"
"21",2023,"05",1,1,2,0,1,1,0,1,1,1,1,4,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,2,1,NA,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,NA,NA,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,2,0,1,1,1,1,0,0,0,0,2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,NA,NA,NA,NA,"T","T","T",NA,NA,26,13,25,488,471,484,NA,NA,474,NA,NA,478,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",1,1,1,81,14,NA,NA,NA,NA,NA,NA,"2","0","2","1","F","F","F",NA
"22",2023,"05",1,1,2,0,1,1,1,0,1,1,2,2,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,NA,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,3,1,0,0,1,1,1,NA,NA,1,1,1,1,2,0,1,1,1,0,1,0,0,0,0,1,2,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,2,1,1,1,0,NA,NA,NA,NA,"T","T","T",NA,NA,25,19,30,486,482,494,NA,481,478,NA,487,496,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",1,1,1,70,9,NA,NA,52,NA,NA,56,"1","1","1","0","F","F","F","03"
"23",2023,"05",1,0,2,0,1,0,1,1,0,1,0,2,1,0,0,0,2,0,0,0,1,1,0,0,1,1,0,0,0,1,1,NA,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,2,1,1,0,0,0,0,NA,NA,0,1,1,0,2,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,2,1,0,0,0,0,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,"T","T","T",NA,NA,18,19,23,474,482,480,NA,485,484,NA,479,495,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",1,1,1,15,13,NA,NA,60,NA,NA,69,"1","1","1","0","F","F","F","03"
"24",2023,"05",1,0,2,1,1,1,0,1,1,1,2,4,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,2,4,NA,1,1,0,0,3,1,1,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,0,1,1,1,NA,NA,1,1,0,1,2,1,0,1,1,1,1,0,1,1,3,1,0,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,0,1,1,1,2,2,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,38,42,41,517,516,518,NA,540,537,NA,522,519,NA,NA,NA,NA,NA,"M","M","Meeting","Meeting","Meeting","Meeting",1,1,1,18,43,NA,NA,89,NA,NA,46,"2","2","2","2","F","F","F","03"
"25",2023,"05",1,1,2,1,1,1,0,1,1,1,1,2,1,1,0,1,2,0,0,1,1,2,1,1,0,1,1,0,1,0,2,NA,1,1,1,0,3,1,1,2,1,1,2,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,3,4,1,1,2,0,1,NA,NA,1,1,1,1,1,0,2,1,1,1,1,0,1,0,0,1,2,0,1,1,1,1,0,1,0,1,1,2,1,1,0,0,1,0,1,1,1,1,1,1,0,NA,NA,NA,NA,"T","T","T",NA,NA,29,43,33,494,518,499,NA,510,501,NA,512,522,NA,NA,NA,NA,NA,"PM","M","Partially Meeting","Partially Meeting","Meeting","Partially Meeting",1,1,1,17,53,NA,NA,48,NA,NA,72,"1","1","1","1","F","F","F","03"
"26",2023,"05",1,1,2,1,1,1,0,1,1,1,2,6,1,0,0,1,2,0,1,1,1,2,0,1,1,1,1,0,1,0,2,NA,1,1,1,0,2,1,0,3,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,2,1,0,0,1,0,1,NA,NA,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,2,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,34,32,29,505,501,492,NA,492,510,NA,490,496,NA,NA,NA,NA,NA,"M","M","Partially Meeting","Meeting","Meeting","Partially Meeting",1,1,1,53,68,NA,NA,97,NA,NA,47,"3","1","3","1","F","F","F","03"
"27",2023,"05",1,1,2,1,0,1,0,1,1,1,2,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,NA,1,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,20,14,14,477,473,461,NA,476,461,NA,483,468,NA,NA,NA,NA,NA,"PM","PM","Not Meeting","Partially Meeting","Partially Meeting","Not Meeting",1,1,1,81,28,NA,NA,20,NA,NA,6,"1","1","1","0","F","F","F","03"
"28",2023,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NTA","NTA","NTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,NA,NA,461,NA,NA,NA,NA,NA,"ABS","ABS","ABS",NA,NA,"ABS",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"BL","BL","BL","BL","N","N","N",NA
"29",2023,"05",1,1,2,1,1,1,1,1,1,1,2,4,1,1,0,1,2,0,1,0,1,2,0,1,0,1,1,0,1,0,2,NA,1,1,1,1,3,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,0,2,1,2,2,1,1,1,0,0,1,1,1,2,2,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,32,51,42,500,541,521,NA,512,505,NA,532,533,NA,NA,NA,NA,NA,"M","E","Meeting","Meeting","Exceeding","Meeting",1,1,1,26,83,NA,NA,54,NA,NA,71,"2","1","2","1","F","F","F","03"
"30",2023,"05",1,0,2,1,1,0,0,0,1,1,0,2,1,0,1,1,1,1,0,0,1,2,0,0,1,1,0,0,1,1,2,NA,0,1,1,0,2,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,4,2,1,0,2,0,0,NA,NA,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,2,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,3,2,0,1,0,NA,NA,NA,NA,"T","T","T",NA,NA,23,23,29,483,488,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","F","F","F",NA
"31",2023,"05",1,0,2,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,NA,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,3,2,0,0,1,1,0,NA,NA,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,NA,NA,NA,NA,"T","T","T",NA,NA,16,21,19,469,485,472,NA,489,480,NA,466,474,NA,NA,NA,NA,NA,"NM","PM","Partially Meeting","Not Meeting","Partially Meeting","Partially Meeting",1,1,1,12,76,NA,NA,38,NA,NA,42,"1","0","0","0","F","F","F","03"
